CARD_NUM,CHNAME,BBN,ACCTNUMBER,CARDTYPE,OWNERSHIP,PRODUCTCODE,PRODUCTSERNO,MEMBERSHIP_DATE,EXPIRYDATE,CURRENCY,STATUS,EXCEED_LIMIT,OUTSTDG_BAL,CHANNEL_CODE,SALES_ID,LAST_UPDATE
5498327779998884,TEST ACCOU  187,30017028206,6081000004993,MASTERCARD,1,MC World Rwrds Card,30,6/6/2025,6/30/2028,PHP,WOFC - Written Off - Financial,60000,7046.25,RHO,,9/6/2023 11:03:15 AM
5498327779998884,TEST ACCOU  187,30017028206,8401000000898,MASTERCARD,1,USD MC World Account,30,6/6/2025,6/30/2028,USD,WOFC - Written Off - Financial,0,-107636.19,RHO,,9/6/2023 11:03:15 AM
5498327779997670,LEO BELEN BELO,46917580724,6081000009106,MASTERCARD,1,MC World Rwrds Card,30,8/12/2025,8/31/2026,PHP,WOFC - Written Off - Financial,350000,-492.92,RDR,P059,9/6/2023 11:03:15 AM
5498327779997308,TEST ACCOU  350,100CC324903,6081000007025,MASTERCARD,1,MC World Rwrds Card,30,6/6/2025,6/30/2028,PHP,WOFC - Written Off - Financial,60000,7046.25,RHO,,9/6/2023 11:03:15 AM
5498327779997308,TEST ACCOU  350,100CC324903,8401000001406,MASTERCARD,1,USD MC World Account,30,6/6/2025,6/30/2028,USD,WOFC - Written Off - Financial,0,-107636.19,RHO,,9/6/2023 11:03:15 AM
5498327779996326,TEST ACCOU  545,30017064007,6081000007408,MASTERCARD,1,MC World Rwrds Card,30,6/6/2025,6/30/2031,PHP,PAUL - COL BALCON,60000,-102830.02,RHO,,9/6/2023 11:03:15 AM
5498327779996151,TEST ACCOU  279,100CC116901,6081000005392,MASTERCARD,1,MC World Rwrds Card,30,6/6/2025,6/30/2031,PHP,PAUL - COL BALCON,60000,-102830.02,RHO,,9/6/2023 11:03:15 AM
5498327779996029,TEST ACCOU  238,30017033304,6081000008336,MASTERCARD,1,MC World Rwrds Card,30,6/6/2025,6/30/2031,PHP,PAUL - COL BALCON,60000,-102830.02,RHO,,9/6/2023 11:03:15 AM
5498327779993869,LARA  CROFT,51883740987,6081000066095,MASTERCARD,0,MC World Rwrds Card,30,4/16/2032,4/30/2037,PHP,NORM - Normal Status code,100000,-5000,0,2070,9/6/2023 11:03:15 AM
5498327779993869,LARA  CROFT,51883740987,8401000003049,MASTERCARD,0,USD MC World Account,30,4/16/2032,4/30/2037,USD,NORM - Normal Status code,0,0,0,2070,9/6/2023 11:03:15 AM
5498327779993612,TEST ACCOU  171,30017026607,6081000003864,MASTERCARD,1,MC World Rwrds Card,30,6/6/2025,6/30/2031,PHP,PAUL - COL BALCON,60000,-102830.02,RHO,,9/6/2023 11:03:15 AM
5498327779992994,CRM 1  WORLD 1,51778600678,6081000065652,MASTERCARD,0,MC World Rwrds Card,30,6/5/2031,6/30/2034,PHP,WOFC - Written Off - Financial,550000,-15300.65,0,23,9/6/2023 11:03:15 AM
5498327779992705,ELLISON LOS_ROL_SP NICHOLA,52058710150,6081000066764,MASTERCARD,0,MC World Rwrds Card,30,12/11/2032,12/31/2037,PHP,CANC - Cancelled by Customer,40000,0,RDR,K054,9/6/2023 11:03:15 AM
5498327779992382,TEST ACCOU  656,100CC209402,6081000007705,MASTERCARD,1,MC World Rwrds Card,30,6/6/2025,6/30/2028,PHP,WOFC - Written Off - Financial,60000,7046.25,RHO,,9/6/2023 11:03:15 AM
5498327779992382,TEST ACCOU  656,100CC209402,8401000001576,MASTERCARD,1,USD MC World Account,30,6/6/2025,6/30/2028,USD,WOFC - Written Off - Financial,0,-107636.19,RHO,,9/6/2023 11:03:15 AM
5498327779992218,TEST ACCOUN  38,100CC147604,6081000005128,MASTERCARD,1,MC World Rwrds Card,30,6/6/2025,6/30/2031,PHP,PAUL - COL BALCON,60000,-108435.22,RHO,,9/6/2023 11:03:15 AM
5498327779991657,TEST ACCOU  475,30017057000,6081000005520,MASTERCARD,1,MC World Rwrds Card,30,6/6/2025,6/30/2031,PHP,PAUL - COL BALCON,60000,-102830.02,RHO,,9/6/2023 11:03:15 AM
5498327779989396,TEST ACCOU  116,100CC100600,6081000008400,MASTERCARD,1,MC World Rwrds Card,30,6/6/2025,6/30/2031,PHP,PAUL - COL BALCON,60000,-102830.02,RHO,,9/6/2023 11:03:15 AM
5498327779989305,TEST ACCOU  512,30017060702,6081000007473,MASTERCARD,1,MC World Rwrds Card,30,6/6/2025,6/30/2028,PHP,WOFC - Written Off - Financial,60000,7046.25,RHO,,9/6/2023 11:03:15 AM
5498327779989305,TEST ACCOU  512,30017060702,8401000001518,MASTERCARD,1,USD MC World Account,30,6/6/2025,6/30/2028,USD,WOFC - Written Off - Financial,0,-107636.19,RHO,,9/6/2023 11:03:15 AM
