INSTITUTION_ID,SERNO,TITLE,LASTNAME,FIRSTNAME,MIDNAME,MOTHERNAME,ORGANIZATION,DEPARTMENT,POSITION,DOB,PERSONTYPE,SEX,MARITALSTATUS,SSNUMBER,CUSTIDNUMBER,RESIDENT,LEGALENTITY,EMPLOYEEID,STGENERAL,LANGUAGECODE,LOGACTION,LL_TITLE,LL_FIRSTNAME,LL_MIDNAME,LL_LASTNAME,LL_MOTHERNAME,LL_ORGANIZATION,LL_DEPARTMENT,LL_POSITION,EXTERNALREFERENCE,CREATEDATE,ENTITYVERSIONNO,CONVERTED
375,75265,MS.                 ,REYES,ANDREA MAE                    ,TUASON,,,,,9/22/1990,0,F,S,,,N,0,,NORM,en-US,web        ,,,,,,,,,,4/9/2033,5,
375,75264,MR.                 ,PUNZALAN,ARVIN JOHN                    ,LAXAMANA,,,,,12/1/1990,0,M,S,,,N,0,,NORM,en-US,new        ,,,,,,,,,,4/9/2033,1,
375,75263,MR.                 ,PUNZALAN,ARVIN JOHN                    ,LAXAMANA,,,,,12/1/1990,0,M,S,,,N,0,,NORM,en-US,new        ,,,,,,,,,,4/9/2033,1,
375,75262,MR.                 ,KENWAY,EDWARDO JAMES                 ,,,,,,,0,M,S,,,N,0,,NORM,en-US,new        ,,,,,,,,,,4/9/2033,1,
375,75261,MS.                 ,YABUT,PAM                           ,,,,,,,0,M,S,,,N,0,,NORM,en-US,new        ,,,,,,,,,,4/8/2033,1,
375,75243,MS.                 ,BBX2,SUPPLE JHEN                   ,TESTCARD,,,,,1/1/1988,0,F,S,,,N,0,,NORM,en-US,web        ,,,,,,,,,,4/7/2033,1,
375,75242,MS.                 ,UAT,STEPH                         ,TEST,,,,,5/20/1998,0,F,S,,,N,0,,NORM,en-US,web        ,,,,,,,,,,4/7/2033,1,
375,75241,,COSICO,ANGELO                        ,,,,,,,0,M,S,,,N,0,,NORM,en-US,new        ,,,,,,,,,,4/7/2033,1,
375,75221,MR.                 ,DUMMY1,ED                            ,,,,,,,0,M,S,,,N,0,,NORM,en-US,new        ,,,,,,,,,,4/7/2033,1,
375,75201,MS.                 ,BBX,JHEN                          ,,,,,,,0,M,S,,,N,0,,NORM,en-US,new        ,,,,,,,,,,4/6/2033,1,
375,75183,MR.                 ,MANGLOTO,PEPITO                        ,,,,,,,0,M,S,,,N,0,,NORM,en-US,new        ,,,,,,,,,,4/5/2033,1,
375,75182,MR.                 ,CREATE,FIFTEEN                       ,,,,,,1/1/1991,0,M,S,,,N,0,,NORM,en-US,new        ,,,,,,,,,,4/3/2033,1,
375,75181,MR.                 ,CREATE,FOURTEEN                      ,,,,,,1/1/1991,0,M,S,,,N,0,,NORM,en-US,new        ,,,,,,,,,,4/3/2033,1,
375,75180,MR.                 ,CREATE,THIRTEEN                      ,,,,,,1/1/1991,0,M,S,,,N,0,,NORM,en-US,new        ,,,,,,,,,,4/3/2033,1,
375,75179,MR.                 ,CREATE,TWENTYTWO                     ,,,,,,1/1/1991,0,M,S,,,N,0,,NORM,en-US,new        ,,,,,,,,,,4/3/2033,1,
375,75178,MR.                 ,CREATE,TWELVE                        ,,,,,,1/1/1991,0,M,S,,,N,0,,NORM,en-US,new        ,,,,,,,,,,4/3/2033,1,
375,75177,MR.                 ,CREATE,TWENTYONE                     ,,,,,,1/1/1991,0,M,S,,,N,0,,NORM,en-US,new        ,,,,,,,,,,4/3/2033,1,
375,75176,MR.                 ,CREATE,ELEVEN                        ,,,,,,1/1/1991,0,M,S,,,N,0,,NORM,en-US,new        ,,,,,,,,,,4/3/2033,1,
375,75175,MR.                 ,CREATE,TWENTY                        ,,,,,,1/1/1991,0,M,S,,,N,0,,NORM,en-US,new        ,,,,,,,,,,4/3/2033,1,
375,75174,MR.                 ,CREATE,TEN                           ,,,,,,1/1/1991,0,M,S,,,N,0,,NORM,en-US,new        ,,,,,,,,,,4/3/2033,1,
